NAMESPACE                NAME                                                        READY   STATUS      RESTARTS        AGE     IP             NODE                    NOMINATED NODE   READINESS GATES
ticketing-notification   notification-service-5bbc5b7dc5-chzmd                       1/1     Running     0               6m33s   10.244.1.131   desktop-worker3         <none>           <none>
ticketing-notification   notification-service-background-9ff6fb996-t76ss             0/1     Error       5 (118s ago)    6m35s   10.244.1.129   desktop-worker3         <none>           <none>
ticketing-payment        payment-db-0                                                1/1     Running     0               4h4m    10.244.3.60    desktop-worker2         <none>           <none>
ticketing-payment        payment-service-74886c4567-sf8wp                            1/1     Running     0               6m33s   10.244.3.80    desktop-worker2         <none>           <none>
ticketing-payment        payment-service-74886c4567-wjrxf                            1/1     Running     0               6m35s   10.244.1.128   desktop-worker3         <none>           <none>
ticketing-payment        payment-service-background-6479875cc9-zk7j7                 1/1     Running     2 (2m3s ago)    6m36s   10.244.3.77    desktop-worker2         <none>           <none>
ticketing-payment        pgadmin-74bfdb7477-xk7qp                                    1/1     Running     0               4h4m    10.244.3.57    desktop-worker2         <none>           <none>
ticketing-reservation    reservation-db-0                                            1/1     Running     0               4h4m    10.244.1.86    desktop-worker3         <none>           <none>
ticketing-reservation    reservation-service-7f7f464496-5h67k                        1/1     Running     0               6m34s   10.244.1.130   desktop-worker3         <none>           <none>
ticketing-reservation    reservation-service-7f7f464496-x556w                        1/1     Running     0               6m33s   10.244.2.74    desktop-worker          <none>           <none>
ticketing-reservation    reservation-service-background-74567f9fff-8bn25             1/1     Running     0               6m35s   10.244.2.71    desktop-worker          <none>           <none>
ticketing-ticket         ticket-db-0                                                 1/1     Running     0               4h4m    10.244.2.57    desktop-worker          <none>           <none>
ticketing-ticket         ticket-service-785784658-6xsx6                              1/1     Running     0               6m32s   10.244.3.82    desktop-worker2         <none>           <none>
ticketing-ticket         ticket-service-785784658-n92m7                              1/1     Running     0               6m35s   10.244.1.125   desktop-worker3         <none>           <none>
ticketing-ticket         ticket-service-background-59d56d7cdf-5x6lw                  1/1     Running     2 (117s ago)    6m35s   10.244.1.127   desktop-worker3         <none>           <none>
